128.198.165.21 - - [27/Mar/2017:11:26:56 -0600] "GET /readme.php HTTP/1.1" 200 1594 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
::1 - - [28/Mar/2017:06:30:53 -0600] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.21 (internal dummy connection)"
::1 - - [28/Mar/2017:06:30:53 -0600] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.21 (internal dummy connection)"
::1 - - [28/Mar/2017:06:30:53 -0600] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.21 (internal dummy connection)"
::1 - - [28/Mar/2017:06:30:53 -0600] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.21 (internal dummy connection)"
::1 - - [28/Mar/2017:06:30:53 -0600] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.21 (internal dummy connection)"
::1 - - [28/Mar/2017:06:30:53 -0600] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.21 (internal dummy connection)"
::1 - - [02/Apr/2017:06:55:17 -0600] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.21 (internal dummy connection)"
::1 - - [02/Apr/2017:06:55:17 -0600] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.21 (internal dummy connection)"
::1 - - [02/Apr/2017:06:55:17 -0600] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.21 (internal dummy connection)"
::1 - - [02/Apr/2017:06:55:17 -0600] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.21 (internal dummy connection)"
::1 - - [02/Apr/2017:06:55:17 -0600] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.21 (internal dummy connection)"
::1 - - [10/Apr/2017:06:32:32 -0600] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.21 (internal dummy connection)"
::1 - - [10/Apr/2017:06:32:32 -0600] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.21 (internal dummy connection)"
::1 - - [10/Apr/2017:06:32:32 -0600] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.21 (internal dummy connection)"
::1 - - [10/Apr/2017:06:32:32 -0600] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.21 (internal dummy connection)"
::1 - - [10/Apr/2017:06:32:32 -0600] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.21 (internal dummy connection)"
128.198.68.166 - - [10/Apr/2017:16:28:00 -0600] "GET / HTTP/1.1" 200 720 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:28:01 -0600] "GET /icons/blank.gif HTTP/1.1" 200 430 "http://128.198.162.204/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:28:01 -0600] "GET /icons/folder.gif HTTP/1.1" 200 508 "http://128.198.162.204/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:28:01 -0600] "GET /icons/text.gif HTTP/1.1" 200 512 "http://128.198.162.204/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:28:01 -0600] "GET /favicon.ico HTTP/1.1" 404 504 "http://128.198.162.204/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:28:03 -0600] "GET /My_Web_Page_Mathew_Flynn/ HTTP/1.1" 200 806 "http://128.198.162.204/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:28:03 -0600] "GET /icons/back.gif HTTP/1.1" 200 498 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
128.198.68.166 - - [10/Apr/2017:16:28:05 -0600] "GET /My_Web_Page_Mathew_Flynn/index1.html HTTP/1.1" 200 1255 "http://128.198.162.204/My_Web_Page_Mathew_Flynn/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
